,year,occupation,major_category,minor_category,total_workers,workers_male,workers_female,percent_female,total_earnings,total_earnings_male,total_earnings_female,wage_percent_of_male
1825,2016,First-line supervisors of retail sales workers,Sales and Office,Sales and Related,2677578,1537529,1140049,42.577620521232255,40573,46343.0,33778.0,72.88695164318236
1826,2016,First-line supervisors of non-retail sales workers,Sales and Office,Sales and Related,1074798,748785,326013,30.33249038423964,65016,67434.0,58166.0,86.25619123884094
1827,2016,Cashiers,Sales and Office,Sales and Related,1019364,293166,726198,71.24030277702569,21000,22413.0,20482.0,91.38446437335476
1828,2016,Counter and rental clerks,Sales and Office,Sales and Related,52412,30604,21808,41.60879187972221,31285,35907.0,25780.0,71.79658562397304
1829,2016,Parts salespersons,Sales and Office,Sales and Related,92199,83465,8734,9.472987776440092,35832,36526.0,30509.0,83.52680282538465
1830,2016,Retail salespersons,Sales and Office,Sales and Related,1716984,1047929,669055,38.96687447291296,32480,40116.0,26781.0,66.7588991923422
1831,2016,Advertising sales agents,Sales and Office,Sales and Related,148263,72790,75473,50.90481104523717,61018,66149.0,56104.0,84.8145852545012
1832,2016,Insurance sales agents,Sales and Office,Sales and Related,442385,232516,209869,47.44035172982809,51364,62412.0,42316.0,67.80106389796833
1833,2016,"Securities, commodities, and financial services sales agents",Sales and Office,Sales and Related,199539,142840,56699,28.414996567087137,91885,115432.0,58726.0,50.87497401067294
1834,2016,Travel agents,Sales and Office,Sales and Related,49901,11210,38691,77.5355203302539,41744,46173.0,40707.0,88.16191280618544
1835,2016,"Sales representatives, services, all other",Sales and Office,Sales and Related,534512,368392,166120,31.07881581704433,66475,71706.0,56236.0,78.4257942152679
1836,2016,"Sales representatives, wholesale and manufacturing",Sales and Office,Sales and Related,1182664,878257,304407,25.739094112951776,65716,70464.0,54077.0,76.74415304268847
1837,2016,"Models, demonstrators, and product promoters",Sales and Office,Sales and Related,12940,4816,8124,62.7820710973725,31463,42193.0,28908.0,
1838,2016,Real estate brokers and sales agents,Sales and Office,Sales and Related,576380,278623,297757,51.65984246504043,57486,69512.0,50662.0,72.88238002071584
1839,2016,Sales engineers,Sales and Office,Sales and Related,35706,33085,2621,7.340502996695234,111522,113110.0,80101.0,
1840,2016,Telemarketers,Sales and Office,Sales and Related,41866,16569,25297,60.42373286198824,25732,27152.0,25125.0,92.53461991750149
1841,2016,"Door-to-door sales workers, news and street vendors, and related workers",Sales and Office,Sales and Related,49513,25691,23822,48.11261688849393,30475,35417.0,25753.0,72.71366857723692
1842,2016,"Sales and related workers, all other",Sales and Office,Sales and Related,178931,101250,77681,43.413941687019026,54472,61262.0,48884.0,79.79497894290098
1843,2016,First-line supervisors of office and administrative support workers,Sales and Office,Office and Administrative Support,1187429,479925,707504,59.582846637567386,50070,56346.0,45996.0,81.63134916409328
1844,2016,"Switchboard operators, including answering service",Sales and Office,Office and Administrative Support,17734,3612,14122,79.6323446486974,30456,32279.0,29428.0,
1845,2016,Telephone operators,Sales and Office,Office and Administrative Support,24570,7004,17566,71.49369149369149,31443,36713.0,30077.0,
1846,2016,"Communications equipment operators, all other",Sales and Office,Office and Administrative Support,6802,2751,4051,59.55601293737136,43269,57401.0,36789.0,
1847,2016,Bill and account collectors,Sales and Office,Office and Administrative Support,123438,35970,87468,70.85986487143344,35448,38514.0,34145.0,88.6560731162694
1848,2016,Billing and posting clerks,Sales and Office,Office and Administrative Support,396298,45845,350453,88.43168524696063,35026,39843.0,34424.0,86.39911653238963
1849,2016,"Bookkeeping, accounting, and auditing clerks",Sales and Office,Office and Administrative Support,829531,105920,723611,87.2313391542932,39329,42013.0,38665.0,92.03103801204391
1850,2016,Gaming cage workers,Sales and Office,Office and Administrative Support,7661,2566,5095,66.50567810990732,29747,30445.0,29454.0,
1851,2016,Payroll and timekeeping clerks,Sales and Office,Office and Administrative Support,131052,16608,114444,87.32716784177273,41313,49112.0,40922.0,83.32383124287344
1852,2016,Procurement clerks,Sales and Office,Office and Administrative Support,29591,13472,16119,54.4726437092359,56309,60750.0,51406.0,84.61893004115227
1853,2016,Tellers,Sales and Office,Office and Administrative Support,211343,28579,182764,86.47743242028362,26405,26674.0,26361.0,98.82657269250956
1854,2016,"Financial clerks, all other",Sales and Office,Office and Administrative Support,102650,47844,54806,53.391134924500726,55627,80037.0,45021.0,56.25023426665168
1855,2016,Brokerage clerks,Sales and Office,Office and Administrative Support,5600,1925,3675,65625,47489,55744.0,46240.0,
1856,2016,Correspondence clerks,Sales and Office,Office and Administrative Support,3925,1603,2322,59.15923566878982,48989,45353.0,50434.0,
1857,2016,"Court, municipal, and license clerks",Sales and Office,Office and Administrative Support,62021,12876,49145,79.23928991793102,38317,45566.0,37355.0,81.9799850765922
1858,2016,"Credit authorizers, checkers, and clerks",Sales and Office,Office and Administrative Support,30897,8454,22443,72.63812020584523,41698,51812.0,40120.0,77.43379911989501
1859,2016,Customer service representatives,Sales and Office,Office and Administrative Support,1782634,624476,1158158,64.96891678269347,33442,36744.0,32095.0,87.34759416503374
1860,2016,"Eligibility interviewers, government programs",Sales and Office,Office and Administrative Support,73673,14480,59193,80.34558114913196,41945,49343.0,41024.0,83.14046571955495
1861,2016,File clerks,Sales and Office,Office and Administrative Support,137412,30743,106669,77.6271359124385,34159,36584.0,33224.0,90.81565711786574
1862,2016,"Hotel, motel, and resort desk clerks",Sales and Office,Office and Administrative Support,85672,28143,57529,67.15029414511159,22230,24328.0,21575.0,88.68382111147648
1863,2016,"Interviewers, except eligibility and loan",Sales and Office,Office and Administrative Support,85914,14408,71506,83.22974136927624,31905,40750.0,31371.0,76.98404907975458
1864,2016,"Library assistants, clerical",Sales and Office,Office and Administrative Support,32411,5476,26935,83.10450155811299,30777,30821.0,30768.0,
